Replicate,Watering,Phase,Variety,Leaf Water Potential,total leaf area (cm2),Photosynthesis,Stomatal Conductance,Transpiration Rate,Water Use Efficiency,Total Shoot Dry Weight,Specific Leaf Area,Total Root Mass,Specific root length (m/g)
4,Deficit,drought,Mara,-2.02,1098.59,7.46798872,0.050772788,1.249526815,5.976653428,16.149,0.014032316,5.7794,87.13758023
4,Deficit,drought,2789,-1.92,775.5,13.28125074,0.09608186,2.177946418,6.098061287,12.2976,0.016266046,4.5784,108.3731796
5,Deficit,drought,Mara,-2.2,591.4,5.408438284,0.02791602,0.527349934,10.25588122,18.5176,0.010699038,7.6656,141.393994
5,Deficit,drought,4841,-2.72,329.98,9.221732573,0.078723996,1.265909693,7.284668586,14.6266,0.01119867,7.0604,125.5380671
5,Deficit,drought,2789,-2.04,622.97,7.67456881,0.044555403,0.975543417,7.866967961,13.9524,0.01399178,6.2749,169.5033857
5,Deficit,drought,2778,-2.5,547.17,4.905065528,0.036856774,0.795434493,6.166523539,24.1521,0.009131523,13.4292,128.6974743
5,Control,drought,2789,-0.64,2675.26,15.67124334,0.215643772,4.370191633,3.585939623,29.8322,0.017135702,10.3239,82.6140971
5,Control,drought,2778,-1,3223.19,25.23771172,0.416532691,7.444838424,3.389960974,36.9131,0.017745814,12.4768,136.8261985
5,Control,drought,4841,-1.1,2974.34,26.96904949,0.429368406,6.257843174,4.309639717,36.451,0.015761433,11.6672,166.7327639
5,Control,drought,Mara,-0.86,3026.09,9.922080391,0.428383544,6.648016697,1.492487285,31.0887,0.017088154,9.697,119.8060968
